time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
12:00:00 AM,17,16,21,22,40,13,9
1:00:00 AM,18,15,33,7,15,12,8
2:00:00 AM,23,15,29,8,17,13,8
3:00:00 AM,22,13,46,6,15,10,8
4:00:00 AM,24,12,38,8,16,9,9
5:00:00 AM,25,10,21,7,15,8,8
6:00:00 AM,26,9,16,6,13,8,9
7:00:00 AM,28,11,16,8,14,8,12
8:00:00 AM,30,16,12,10,16,9,14
9:00:00 AM,29,13,13,9,15,10,12
10:00:00 AM,26,12,14,10,17,11,10
11:00:00 AM,25,11,20,9,16,12,11
12:00:00 PM,20,12,22,10,16,15,12
1:00:00 PM,17,17,22,13,16,16,19
2:00:00 PM,16,30,27,22,22,18,20
3:00:00 PM,15,36,34,33,24,16,20
4:00:00 PM,10,59,31,31,42,22,20
5:00:00 PM,10,52,51,39,24,24,16
6:00:00 PM,13,45,36,44,25,16,28
7:00:00 PM,12,42,25,29,20,15,16
8:00:00 PM,11,46,24,35,18,14,12
9:00:00 PM,12,32,23,35,19,13,14
10:00:00 PM,13,27,24,20,17,12,15
11:00:00 PM,12,22,23,30,18,12,13
